# X, Y, Z
1 1 0.000000
1 2 0.000000
1 3 0.000000
1 4 0.000000
1 5 0.000000
1 6 0.000000
1 7 0.000000
1 8 0.000000
1 9 0.000000
1 10 0.000000
1 11 0.000000
1 12 0.000000
1 13 0.000000
1 14 0.000000
1 15 0.000000
1 16 0.000000
1 17 0.000000
2 1 0.000000
2 2 0.001410
2 3 0.002765
2 4 0.004055
2 5 0.005264
2 6 0.006370
2 7 0.007348
2 8 0.008167
2 9 0.008790
2 10 0.009173
2 11 0.009264
2 12 0.009009
2 13 0.008343
2 14 0.007197
2 15 0.005493
2 16 0.003136
2 17 0.000000
3 1 0.000000
3 2 0.002765
3 3 0.005430
3 4 0.007969
3 5 0.010350
3 6 0.012530
3 7 0.014459
3 8 0.016075
3 9 0.017304
3 10 0.018057
3 11 0.018235
3 12 0.017724
3 13 0.016397
3 14 0.014121
3 15 0.010741
3 16 0.006091
3 17 0.000000
4 1 0.000000
4 2 0.004055
4 3 0.007969
4 4 0.011703
4 5 0.015208
4 6 0.018423
4 7 0.021273
4 8 0.023665
4 9 0.025490
4 10 0.026617
4 11 0.026895
4 12 0.026155
4 13 0.024204
4 14 0.020841
4 15 0.015838
4 16 0.008963
4 17 0.000000
5 1 0.000000
5 2 0.005264
5 3 0.010350
5 4 0.015208
5 5 0.019777
5 6 0.023977
5 7 0.027711
5 8 0.030859
5 9 0.033275
5 10 0.034787
5 11 0.035195
5 12 0.034268
5 13 0.031751
5 14 0.027372
5 15 0.020825
5 16 0.011795
5 17 0.000000
6 1 0.000000
6 2 0.006370
6 3 0.012530
6 4 0.018423
6 5 0.023977
6 6 0.029098
6 7 0.033670
6 8 0.037545
6 9 0.040548
6 10 0.042464
6 11 0.043040
6 12 0.041991
6 13 0.038989
6 14 0.033683
6 15 0.025679
6 16 0.014575
6 17 0.000000
7 1 0.000000
7 2 0.007348
7 3 0.014459
7 4 0.021273
7 5 0.027711
7 6 0.033670
7 7 0.039016
7 8 0.043581
7 9 0.047159
7 10 0.049494
7 11 0.050290
7 12 0.049193
7 13 0.045805
7 14 0.039696
7 15 0.030366
7 16 0.017297
7 17 0.000000
8 1 0.000000
8 2 0.008167
8 3 0.016075
8 4 0.023665
8 5 0.030859
8 6 0.037545
8 7 0.043581
8 8 0.048779
8 9 0.052907
8 10 0.055677
8 11 0.056741
8 12 0.055690
8 13 0.052049
8 14 0.045283
8 15 0.034783
8 16 0.019898
8 17 0.000000
9 1 0.000000
9 2 0.008790
9 3 0.017304
9 4 0.025490
9 5 0.033275
9 6 0.040548
9 7 0.047159
9 8 0.052907
9 9 0.057542
9 10 0.060747
9 11 0.062132
9 12 0.061225
9 13 0.057474
9 14 0.050251
9 15 0.038809
9 16 0.022328
9 17 0.000000
10 1 0.000000
10 2 0.009173
10 3 0.018057
10 4 0.026617
10 5 0.034787
10 6 0.042464
10 7 0.049494
10 8 0.055677
10 9 0.060747
10 10 0.064367
10 11 0.066112
10 12 0.065461
10 13 0.061783
10 14 0.054336
10 15 0.042228
10 16 0.024461
10 17 0.000000
11 1 0.000000
11 2 0.009264
11 3 0.018235
11 4 0.026895
11 5 0.035195
11 6 0.043040
11 7 0.050290
11 8 0.056741
11 9 0.062132
11 10 0.066112
11 11 0.068240
11 12 0.067943
11 13 0.064534
11 14 0.057169
11 15 0.044793
11 16 0.026176
11 17 0.000000
12 1 0.000000
12 2 0.009009
12 3 0.017724
12 4 0.026155
12 5 0.034268
12 6 0.041991
12 7 0.049193
12 8 0.055690
12 9 0.061225
12 10 0.065461
12 11 0.067943
12 12 0.068098
12 13 0.065181
12 14 0.058251
12 15 0.046093
12 16 0.027236
12 17 0.000000
13 1 0.000000
13 2 0.008343
13 3 0.016397
13 4 0.024204
13 5 0.031751
13 6 0.038989
13 7 0.045805
13 8 0.052049
13 9 0.057474
13 10 0.061783
13 11 0.064534
13 12 0.065181
13 13 0.062953
13 14 0.056882
13 15 0.045597
13 16 0.027354
13 17 0.000000
14 1 0.000000
14 2 0.007197
14 3 0.014121
14 4 0.020841
14 5 0.027372
14 6 0.033683
14 7 0.039696
14 8 0.045283
14 9 0.050251
14 10 0.054336
14 11 0.057169
14 12 0.058251
14 13 0.056882
14 14 0.052092
14 15 0.042461
14 16 0.026007
14 17 0.000000
15 1 0.000000
15 2 0.005493
15 3 0.010741
15 4 0.015838
15 5 0.020825
15 6 0.025679
15 7 0.030366
15 8 0.034783
15 9 0.038809
15 10 0.042228
15 11 0.044793
15 12 0.046093
15 13 0.045597
15 14 0.042461
15 15 0.035413
15 16 0.022375
15 17 0.000000
16 1 0.000000
16 2 0.003136
16 3 0.006091
16 4 0.008963
16 5 0.011795
16 6 0.014575
16 7 0.017297
16 8 0.019898
16 9 0.022328
16 10 0.024461
16 11 0.026176
16 12 0.027236
16 13 0.027354
16 14 0.026007
16 15 0.022375
16 16 0.014848
16 17 0.000000
17 1 0.000000
17 2 0.000000
17 3 0.000000
17 4 0.000000
17 5 0.000000
17 6 0.000000
17 7 0.000000
17 8 0.000000
17 9 0.000000
17 10 0.000000
17 11 0.000000
17 12 0.000000
17 13 0.000000
17 14 0.000000
17 15 0.000000
17 16 0.000000
17 17 0.000000
